2939;73;"Lavanderas del Paraguay";;"Óleo sobre tela";49;57,50;
4030;281;"Mujer tejiendo";"";"Talla en madera";82;81;0,50
3556;677;"Muro vikingo";;"Fotografía";102;106,50;
4027;319;"Gorda de trenzas";;"Chatarra";130;110;80
3077;144;"Terror";;"Dibujo a lápiz";77;59;
20004;784;"Cosas de cuerda y madera";"";"Madera serruchada";268;195;165
2930;441;"Extraña máscara";;"Óleo sobre hardboard";60;50;
2938;123;"Niña";;"Acuarela sobre papel";48;33;
4035;783;"Atadura";"";"Vidrio modelado";25;60;
3701;73;"Paisaje (bosque)";;"Óleo sobre tela";115;152;
2250;208;"Espiral";"";"Medios combinados";106;86;
3584;7;"Paisaje de Grecia - Iglesia  Meteoro";;"Óleo sobre tela";49;59;
3567;677;"Costa azul";;"Fotografía";145;115;
2989;632;"Composición abstracta";;"Pintura sobre madera";71;69;
3036;281;"Adolescente";"";"Yeso";132;41;46
2009;579;"Puerto";"";"Óleo sobre cartón";27;35;
3045;670;"Díptico de la respiración de la materia";"";"Cerámica sobre hierro";145;83;12
3075;281;"Retrato del poeta Emilio Oribe";;"Bronce";52;28;33
3736;491;"Niñas";;"Óleo sobre tela";114;105;
1996;195;"Galpón";;"Xilografía";30;22,50;
4784;579;"Retrato de pintor";"";"Óleo sobre tela";178;78,50;
697;62;"Cantera abandonada -";"";"Óleo sobre cartón";38;46;
4049;670;"Desarrollo del grito";"";"Biscocho";160;160;15
4795;632;"La esfera roja";"";"Metal y madera";78;110;55
4102;149;"El esgrimista";"";"Yeso patinado";76,50;53;21
686;149;"Diógenes Hequet";"c1900";"Bronce";44;29;23
77;1;"Un episodio de la fiebre amarilla en Buenos Aires";"c.1871";"Óleo sobre tela";230;180;
1143;1;"Atardecer";"c.1875-78";"Óleo sobre tela";36;30;
1083;1;"La paraguaya";"c.1879";"Óleo sobre tela";100;80;
285;1;"Retrato de la Sra. Carlota F. de R.";"c.1883";"Óleo sobre tela";130;100;
308;3;"Parvas";"c.1893";"Óleo sobre tabla";17;28;
313;3;Retrato del Sr. J. C. M.;c.1899;Oleo sobre tela;50;61;
337;3;"Retrato de J. C. M.";"c.1899";"Óleo sobre tela";129;139;
474;149;"El cafetero";"c.1896";"Bronce";35;17;30
314;3;"Cabeza de viejo";"1899";"Óleo sobre tela";60;52,50;
59;3;"Estudio";"1899";"Óleo sobre tela";65;54;
447;225;"Retrato";"1900";"Pastel sobre papel";74;57;
4459;225;"Autorretrato";"1900";"Óleo sobre tela";61,50;48;
1306;225;"Estudio";"c.1905";"Pastel sobre papel";44;47;
224;53;"Jardín mallorquino";"c.1906-07";"Óleo sobre tela";122;114;
97;225;"Maternidad";"1905";"Óleo sobre tela";118;149;
1016;73;"Muelle viejo";"1906";"Óleo sobre tela";49;70;
1014;53;"Retrato (Sra. María Castro de Figari)";"1907";"Óleo sobre tela";170;187;
2057;512;"Maternidad";"1910";"Bronce";50;55;22
3123;2;"Los emigrantes";"1912";"Óleo sobre tela";121;140;
1603;2;Zíngaras;1918;Oleo sobre tela;118;98;
3116;2;"Garcia Lorca y otro ";"c.1918-23";"Óleo sobre madera";47;64;
283;12;"Rincón de Luxemburgo";"1913";"Óleo sobre cartón";33;41;
2015;12;"Partido de fútbol";"c.1919";"Óleo sobre tela";87;116;
3098;12;"Retrato";"1915";"Óleo sobre tela";190;96;
2653;91;"Plaza de Pollenza";"1915";"Óleo sobre tela";115;102;
223;53;"Recuerdo de la Isla Madera";"1915";"Óleo sobre tela";125;176;
291;91;"Palma de Mallorca";"1915";"Óleo sobre tela";104;120;
1796;263;"En el taller";"1916";"Óleo sobre tela";130;96;
1799;263;"Retrato del escultor Luis Falcini";"1916";"Óleo sobre tela";112;128;
1688;5;"Cerro Largo (La Aguada)";"1918";"Óleo sobre tela";100;132;
2143;91;"Afueras de Maldonado";"1918";"Óleo sobre tela";119;135;
1566;4;"Paisaje de ciudad";"1918";"Óleo sobre cartón";36;56;
950;6;"Cambacuá";"c.1923";"Óleo sobre cartón";69;99;
2947;491;"Recreo";"c.1924";"Óleo sobre tela";86;90;
3103;2;"Molinero aragonés";"c.1924";"Óleo sobre tela";117;73;
1975;6;"Grito de Asencio";"c.1925";"Óleo sobre tela";58;108;
1073;6;"Pericón en el patio de la estancia";"c.1925";"Óleo sobre cartón";70;100;
949;6;"Toque de oración";"c.1925";"Óleo sobre cartón";69;99;
1689;5;"Camino con postes";"c.1927-29";"Óleo sobre tela";100;81;
1611;2;"Hombre en la taberna";"1922";"Óleo sobre tela";106;82,50;
3653;53;"Las glicinas";"1923";"Óleo sobre tela";130;120;
1794;263;"Deporte";"1923";"Óleo sobre tela";74;99;
2052;512;"La fuente de los atletas";"1923";"Yeso";110;63;63
1559;4;"Interior";"1924";"Óleo sobre cartón";49,50;36;
2941;491;"Retrato de Luis E. Pombo";"c.1930";"Óleo sobre tela";95;123;
1681;5;"Suburbios de Florida";"c.1931";"Óleo sobre madera";73;100;
1582;4;"Pintura constructiva";"1929";"Óleo sobre madera";80;100;
1571;4;Pintura constructiva;c.1929;Oleo sobre cartón;44;35,5;
2090;120;"Marta";"c.1937";"Piedra";40;39;25
1674;5;"Luna nueva";"1933";"Óleo sobre tela";146;97;
1041;281;"Figura de joven";"c.1942";"Bronce";160;42;59
1011;579;"La calle";"c.1942";"Óleo sobre tela";80;85;
2061;512;"M. Fierro";"1939";"Bronce";80;35;23
2429;123;"En una isla";"c.1946";"Acuarela sobre papel";74;51;
3881;4;"Arte universal";"1943";"Óleo sobre tela";106;75;
1994;195;"Muerte de Martín Aquino";"1943";"Xilografía";41;50;
2049;512;"Anadiomenes";"1946";"Bronce";176;60;103
2281;12;"Amanecer con luna";"1948";"Óleo sobre tela";63;78;
2950;491;"Quinta";"c.1954";"Óleo sobre madera";108;98;
1743;120;"Regreso";"c.1958";"Cemento monolítico";203;65;75
1066;195;"El lobizón";"c.1961";"Grabado";50;38;
2208;322;"La luna en la plaza";"1959";"Óleo sobre tela";79;91;
1964;592;"Huida";"1959";"Óleo sobre tela";195;120;
2244;144;"Variaciones sobre el gordo Améndola";"1961";"Óleo sobre fibra";171;122;
2905;120;"Inquietud";"c.1966";"Bronce";20;15;8
2925;163;"Composición";"c.1966";"Tinta china sobre papel";85;48;
2233;144;"Espirales trágicas";"1961";"Témpera";72;117;
3602;592;"Angustia";"1963";"Medios combinados";200;150;
1895;319;"Doña Albina en la cama";"1963";"Óleo sobre tela";125;150;
2011;7;"Construcción";"1963";"Óleo sobre tabla";69,50;51,50;
3540;322;"Homenaje al cubo";"c.1969";"Papel pintado sobre estructura";44;44;44
2182;322;"América insólita";"1964";"Óleo sobre tela";100;130;
2220;397;"A las 5 en punto de la tarde";"1965";"Óleo sobre tabla";130;162;
2237;321;"Boda";"1966";"Óleo sobre tela";56;42;
3037;163;"Composición 17 de julio";"1968";"Acrílico sobre tela";180;136;
3089;654;"Guerrero";"1968";"Hierro";35;26;30
3549;110;"Cuadrados LXXXIX";"1970";"Acrílico sobre tela";100;100;
3553;163;"Formas";"1970";"Acrílico sobre tela";116;200;
4037;167;"Biografía";"1971";"Xilografía y serigrafía";86;58;
4038;167;"Retrato de Bixbeiderbecke";"1971";"Xilografía";99;62;
4052;441;"Un día y una historia";"1972";"Aguafuerte y aguatinta";43;69;
4066;120;"Desplazamiento I";"1975-76";"Metal y madera";53;40;28
4050;441;"Carroza para un carnaval";"1975";"Aguafuerte";36;55;
3927;464;"Lapsis exillis";"1978";"Acrílico sobre tabla";69;59;
3959;558;"Lugar 0,78";"1980";"Óleo sobre tela";100;100;
